name,family,n,m,density,k,q,H_share,H_size,capacity,capacity_over_wMq,gap_bound_abs,gap_bound_rel,h,lambda_1,lambda_q,largest_macroitem,largest_macroitem_share,median_macroitem,n_maxflow_path,n_singleton_macroitems,persistency,seconds_path,size_Mq,theta,w_share_first,w_share_first3,z_lp
kd,,14153,219778,15.529,493,483,,,,,,,,21.14472324039653,0.002025302108363698,2215,0.1565,2,985,200,,1.1078,12154,,0.0001,0.0004,
marvin,,53271,650631,12.214,270,150,0.0326,1736,60000000.0,0.1138,299499572.15061665,1.0,1,4.991659535843611,0.0026082178492837916,40084,0.7525,26,539,33,0.9674,2.0335,8516,0.579,0.1966,0.2107,299499572.15061665
mclaughlin_limit,,112687,3035483,26.937,1884,1790,,,,,,,,0.0002034611538852088,5.3119830016543945e-09,9409,0.0835,8,3767,177,,49.2594,110225,,0.0004,0.0004,
newman1,,1060,3922,3.7,47,46,0.834,884,2000000.0,0.3561,6764763.6200737255,0.634639,25,27.526235566552174,0.4028485169491525,884,0.834,1,93,30,0.166,0.0247,1059,0.3201,0.0019,0.0048,10659224.148113726
p4hd,,40947,738609,18.038,2446,1468,0.008,329,52500000.0,0.4336,2037358.3587295501,0.009448,826,0.9293080993080993,3.613053613053613e-05,2547,0.0622,2,4891,926,0.992,11.9439,28844,0.7913,0.0,0.0001,215648497.35872954
sm2,,99014,96642,0.976,1667,1538,0.0001,10,12000000.0,0.0481,1942556.644520515,0.003256,208,14.433333333333334,0.0006385696040868455,77736,0.7851,6,3333,482,0.9999,2.1943,18388,0.3291,0.0,0.0,596578984.5445205
w23,,74260,764786,10.299,2428,1258,0.3335,24769,68000000.0,0.5858,151571527.75166532,0.371574,922,0.0011246106487153454,3.99374987020313e-08,24769,0.3335,2,4855,967,0.6665,14.2399,49061,0.7875,0.0,0.0001,407917489.7516653
zuck_large,,96821,1053105,10.877,3192,3192,0.0001,10,3000000.0,0.0622,13591.405936285937,0.000775,506,0.07832814814814815,3.307692307692308e-05,16660,0.1721,6,6383,472,0.9999,27.2903,96821,0.5538,0.0005,0.0008,17534696.645936288
zuck_medium,,29277,1271207,43.42,138,128,0.4342,12711,18000000.0,0.1363,192266803.43952918,0.85801,52,30.1482977807253,0.441144786147017,12711,0.4342,2,275,63,0.5658,2.8207,27387,0.2813,0.0,0.0001,224084686.13757917
zuck_small,,9400,145640,15.494,177,176,0.1579,1484,60000000.0,0.1042,287882910.363861,1.0,1,4.79804850606435,7.89005436871787e-05,1484,0.1579,20,353,23,0.8421,0.4411,9399,0.6935,0.1502,0.1536,287882910.363861
