name,family,n,m,density,k,q,H_share,H_size,capacity,capacity_over_wMq,gap_bound_abs,gap_bound_rel,h,lambda_1,lambda_q,largest_macroitem,largest_macroitem_share,median_macroitem,n_maxflow_path,n_singleton_macroitems,persistency,seconds_path,size_Mq,theta,true_gap_rel,w_share_first,w_share_first3,z_ip_best_known,z_lp
A_972_1661,telecom,972,1661,1.709,86,86,0.1337,130,800.0,0.0108,1734.88179178764,1.0,1,2.16860223973455,1.6868686868686869,271,0.2788,2,171,24,0.8663,0.0649,972,0.083,0.178042,0.1304,0.1738,1426.0,1734.88179178764
B_981_1688,telecom,981,1688,1.721,77,77,0.054,53,800.0,0.0107,1736.4404609475032,1.0,1,2.170550576184379,1.809278350515464,238,0.2426,2,153,23,0.946,0.0315,981,0.2049,0.186842,0.0524,0.136,1412.0,1736.4404609475032
C_1336_2382,telecom,1336,2382,1.783,88,88,0.1512,202,900.0,0.009,1980.6964211689926,1.0,1,2.200773801298881,1.8080808080808082,202,0.1512,3,175,27,0.8488,0.039,1336,0.0622,0.144745,0.1443,0.1819,1694.0,1980.6964211689926
D_1790_3130,telecom,1790,3130,1.749,94,94,0.0575,103,3000.0,0.0053,63259.45158942004,1.0,1,21.086483863140014,16.544444444444444,147,0.0821,8,187,16,0.9425,0.0458,1790,0.1456,0.076739,0.0367,0.1677,58405.0,63259.45158942004
E_1790_3130,telecom,1790,3130,1.749,94,94,0.0575,103,3000.0,0.0053,33203.39723368114,1.0,1,11.067799077893715,6.544444444444444,147,0.0821,8,187,16,0.9425,0.0495,1790,0.1456,0.142558,0.0367,0.1677,28470.0,33203.39723368114
F_3091_5715,telecom,3091,5715,1.849,494,494,0.0165,51,7000.0,0.0032,8512.759170653908,1.0,1,1.2161084529505581,1.028443113772455,256,0.0828,2,987,174,0.9835,0.1875,3091,0.3284,0.03533,0.0097,0.0151,8212.0,8512.759170653908
G_3091_5715,telecom,3091,5715,1.849,106,106,0.0977,302,3000.0,0.0014,33728.540588698896,1.0,1,11.242846862899633,5.701582105837425,302,0.0977,11,211,15,0.9023,0.0652,3091,0.0147,0.632122,0.0932,0.1382,12408.0,33728.540588698896
H_3091_5715,telecom,3091,5715,1.849,515,515,0.0149,46,75000.0,0.0063,17496.10010851872,1.0,1,0.2332813347802496,0.03308823529411765,222,0.0718,2,1029,138,0.9851,0.1937,3091,0.3633,0.263893,0.0173,0.0368,12879.0,17496.10010851872
I_3091_5715,telecom,3091,5715,1.849,160,160,0.0621,192,10000.0,0.009,117132.23600508906,1.0,1,11.713223600508906,5.819415448851775,192,0.0621,8,319,20,0.9379,0.0864,3091,0.1325,0.158413,0.0679,0.0936,98577.0,117132.23600508906
J_9235_17082,telecom,9235,17082,1.85,601,601,0.0293,271,200.0,0.0012,395.1997256986113,1.0,1,1.9759986284930569,0.2727272727272727,322,0.0349,6,1201,13,0.9707,0.3489,9235,0.0343,0.266194,0.0356,0.0374,290.0,395.1997256986113
