name,family,n,m,k,q,largest_macroitem,largest_macroitem_share,n_singleton_macroitems,seconds_path,n_maxflow_path
grid12x12x8c5s1,grid,1152,4704,47,22,686,0.5955,9,0.0777,93
grid12x12x8c5s2,grid,1152,4704,14,2,746,0.6476,0,0.0098,27
grid12x12x8c5s3,grid,1152,4704,22,1,673,0.5842,2,0.0146,43
grid30x30x10c9s1,grid,9000,69696,150,44,5399,0.5999,17,0.1955,299
grid30x30x10c9s2,grid,9000,69696,98,18,5805,0.645,13,0.1531,195
grid30x30x10c9s3,grid,9000,69696,83,0,4299,0.4777,2,0.1507,165
grid36x36x11c9s1,grid,14256,112360,228,91,8836,0.6198,29,0.3501,455
grid36x36x11c9s2,grid,14256,112360,132,36,7835,0.5496,20,0.2562,263
grid36x36x11c9s3,grid,14256,112360,139,29,8197,0.575,11,0.2761,277
dag2000d2.0s1,dag,2000,4014,303,268,583,0.2915,214,0.0853,605
dag2000d4.0s1,dag,2000,7976,77,67,676,0.338,56,0.0366,153
dag20000d2.0s1,dag,20000,39899,2027,1761,10512,0.5256,1075,1.0228,4053
dag20000d4.0s1,dag,20000,80049,371,302,12849,0.6424,314,0.358,741
dag100000d2.0s1,dag,100000,199888,4744,4126,29630,0.2963,575,7.0978,9487
dag100000d4.0s1,dag,100000,399649,1311,1087,30988,0.3099,881,3.1405,2621
tree10000s1,tree,10000,9999,653,514,5278,0.5278,57,0.3138,1305
bip2500x2500s1,bipartite,5000,7543,790,384,163,0.0326,85,0.2561,1579
ties5000g5s1,ties,5000,9997,226,226,474,0.0948,0,0.1044,451
