instance,n,m,method,status,seconds_first,seconds_per_extra,seconds_total,k,max_rel_gap_vs_reference,n_capacities,n_maxflow,q,seconds_build
newman1,1060,3922,path,ok,0.04406694000135758,1.6363899703719653e-05,0.044230578998394776,47,0.0,10,93,46,
newman1,1060,3922,newton,ok,0.033741610997822136,0.013222460888452284,0.1527437589938927,,0.0,10,60,,
newman1,1060,3922,highs:dual-simplex,ok,0.06656996099991375,0.0005912337777166007,0.07189106499936315,,1.288675814469308e-14,10,,,0.0014345039999170695
newman1,1060,3922,highs:ipm,ok,0.08971309799744631,0.05577100666657012,0.5916521579965774,,1.2023503469573476e-14,10,,,0.0014098119972913992
newman1,1060,3922,gurobi:dual-simplex,ok,0.050179677997221006,0.0010590959997595444,0.059711541995056905,,6.4933003320685944e-15,10,,,0.005142470999999205
newman1,1060,3922,gurobi:barrier,ok,0.05367019900222658,0.04403267044431737,0.4499642330010829,,7.142630365275453e-15,10,,,0.0046226119993662
newman1,1060,3922,cplex-cli:dual-simplex,ok,0.11051438500362565,0.00025630566556679294,0.11282113599372678,,3.025457001615246e-11,10,,,0.0331051480025053
zuck_small,9400,145640,path,ok,0.4479212810001627,3.302699988125823e-05,0.4482515509989753,177,0.0,10,353,176,
zuck_small,9400,145640,newton,ok,0.26449421500001336,0.21214206677703057,2.1737728159932885,,3.5679146922949816e-16,10,88,,
zuck_small,9400,145640,highs:dual-simplex,ok,10.85632848000023,2.2757706173332632,31.3382640359996,,7.979906132444513e-15,10,,,0.03881283200098551
zuck_small,9400,145640,highs:ipm,ok,3.8298212789995887,3.317279907222352,33.68534044400076,,1.2130306408285762e-14,10,,,0.05006276000131038
zuck_small,9400,145640,gurobi:dual-simplex,ok,13.848306130003039,0.6426852578895503,19.63247345100899,,1.1511995732051102e-14,10,,,0.12475538800208597
zuck_small,9400,145640,gurobi:barrier,ok,15.0411617940008,17.120017686332883,169.12132097099675,,1.1146768050857187e-14,10,,,0.11684902200067881
zuck_small,9400,145640,cplex-cli:dual-simplex,ok,5.556603455996083,1.9085521763336146,22.733573042998614,,3.5006266815315056e-11,10,,,0.22017470199716627
kd,14153,219778,path,ok,1.1622751780014369,7.654030014236923e-05,1.1630405810028606,493,0.0,10,985,483,
kd,14153,219778,newton,ok,0.2578936589998193,0.21497425777811763,2.192661979002878,,0.0,10,94,,
kd,14153,219778,highs:dual-simplex,ok,10.158315502998448,4.842124108445002,53.73743247900347,,7.065310469036472e-09,10,,,0.0705472119989281
kd,14153,219778,highs:ipm,ok,6.681764049000776,5.3154412537781655,54.52073533300427,,7.065310752004848e-09,10,,,0.062333489000593545
kd,14153,219778,gurobi:dual-simplex,ok,22.811004883998976,2.1316933142225025,41.9962447120015,,7.065310752004848e-09,10,,,0.18623759999900358
kd,14153,219778,gurobi:barrier,ok,11.763909424000303,8.833021265889126,91.26110081700244,,7.065310752004848e-09,10,,,0.18535002399949008
kd,14153,219778,cplex-cli:dual-simplex,ok,13.910537918000045,7.84208432100018,84.48929680700167,,7.071361606273052e-09,10,,,0.2655918179989385
