instance,factor,pit_size,pit_tonnage,coincides_with_Mr,closest_Mr,relative_symmetric_difference
grid20x20x8c5s1,0.05,0,0.0,,,
grid20x20x8c5s1,0.1,0,0.0,,,
grid20x20x8c5s1,0.15,0,0.0,,,
grid20x20x8c5s1,0.2,0,0.0,,,
grid20x20x8c5s1,0.25,0,0.0,,,
grid20x20x8c5s1,0.3,0,0.0,,,
grid20x20x8c5s1,0.35,0,0.0,,,
grid20x20x8c5s1,0.4,0,0.0,,,
grid20x20x8c5s1,0.45,0,0.0,,,
grid20x20x8c5s1,0.5,0,0.0,,,
grid20x20x8c5s1,0.55,99,1108.0,,6,0.370079
grid20x20x8c5s1,0.6,128,1433.0,7,7,0.0
grid20x20x8c5s1,0.65,144,1604.0,,9,0.067568
grid20x20x8c5s1,0.7,200,2226.0,15,15,0.0
grid20x20x8c5s1,0.75,239,2657.0,,22,0.096774
grid20x20x8c5s1,0.8,284,3154.0,29,29,0.0
grid20x20x8c5s1,0.85,311,3445.0,,32,0.00639
grid20x20x8c5s1,0.9,317,3510.0,33,33,0.0
grid20x20x8c5s1,0.95,360,3982.0,37,37,0.0
grid20x20x8c5s1,1.0,413,4562.0,,44,0.009685
grid20x20x8c5s2,0.05,0,0.0,,,
grid20x20x8c5s2,0.1,0,0.0,,,
grid20x20x8c5s2,0.15,0,0.0,,,
grid20x20x8c5s2,0.2,0,0.0,,,
grid20x20x8c5s2,0.25,0,0.0,,,
grid20x20x8c5s2,0.3,0,0.0,,,
grid20x20x8c5s2,0.35,0,0.0,,,
grid20x20x8c5s2,0.4,0,0.0,,,
grid20x20x8c5s2,0.45,0,0.0,,,
grid20x20x8c5s2,0.5,0,0.0,,,
grid20x20x8c5s2,0.55,0,0.0,,,
grid20x20x8c5s2,0.6,0,0.0,,,
grid20x20x8c5s2,0.65,0,0.0,,,
grid20x20x8c5s2,0.7,0,0.0,,,
grid20x20x8c5s2,0.75,0,0.0,,,
grid20x20x8c5s2,0.8,0,0.0,,,
grid20x20x8c5s2,0.85,0,0.0,,,
grid20x20x8c5s2,0.9,0,0.0,,,
grid20x20x8c5s2,0.95,0,0.0,,,
grid20x20x8c5s2,1.0,310,3422.0,,2,0.016129
grid30x30x10c9s1,0.05,0,0.0,,,
grid30x30x10c9s1,0.1,0,0.0,,,
grid30x30x10c9s1,0.15,0,0.0,,,
grid30x30x10c9s1,0.2,0,0.0,,,
grid30x30x10c9s1,0.25,0,0.0,,,
grid30x30x10c9s1,0.3,0,0.0,,,
grid30x30x10c9s1,0.35,0,0.0,,,
grid30x30x10c9s1,0.4,0,0.0,,,
grid30x30x10c9s1,0.45,0,0.0,,,
grid30x30x10c9s1,0.5,0,0.0,,,
grid30x30x10c9s1,0.55,0,0.0,,,
grid30x30x10c9s1,0.6,387,4272.0,,4,0.002577
grid30x30x10c9s1,0.65,462,5084.0,,10,0.008584
grid30x30x10c9s1,0.7,502,5522.0,,15,0.019531
grid30x30x10c9s1,0.75,562,6178.0,,17,0.001776
grid30x30x10c9s1,0.8,607,6665.0,,23,0.006547
grid30x30x10c9s1,0.85,718,7888.0,,28,0.001391
grid30x30x10c9s1,0.9,834,9151.0,,34,0.01074
grid30x30x10c9s1,0.95,901,9899.0,,39,0.014223
grid30x30x10c9s1,1.0,984,10808.0,44,44,0.0
